,Precision,Recall,Specificity,F1 score
,DNN,DNN,DNN,DNN
NORM,0.700,0.971,0.675,0.813
CD,0.621,0.919,0.886,0.741
HYP,0.543,0.804,0.927,0.648
MI,0.590,0.498,0.962,0.540
STTC,0.618,0.450,0.975,0.521
