,Precision,Recall,Specificity,F1 score
,DNN,DNN,DNN,DNN
NORM,0.703,0.989,0.674,0.822
CD,0.708,0.916,0.923,0.799
HYP,0.586,0.748,0.943,0.657
MI,0.547,0.512,0.954,0.529
STTC,0.597,0.461,0.972,0.520
