,Precision,Recall,Specificity,F1 score
,DNN,DNN,DNN,DNN
NORM,0.701,0.964,0.679,0.812
CD,0.646,0.892,0.901,0.750
HYP,0.594,0.710,0.948,0.647
MI,0.553,0.548,0.952,0.551
STTC,0.607,0.361,0.979,0.453
