,Precision,Recall,Specificity,F1 score
,DNN,DNN,DNN,DNN
NORM,0.697,0.982,0.666,0.815
CD,0.605,0.938,0.876,0.736
HYP,0.492,0.827,0.908,0.617
MI,0.594,0.539,0.960,0.565
STTC,0.638,0.489,0.975,0.553
