,Precision,Recall,Specificity,F1 score
,DNN,DNN,DNN,DNN
NORM,0.717,0.978,0.700,0.828
CD,0.580,0.930,0.863,0.714
HYP,0.543,0.794,0.928,0.645
MI,0.505,0.502,0.946,0.503
STTC,0.621,0.428,0.977,0.507
