predictor,n,diagnosis,score_fun,score
DNN,6,NORM,Specificity,0.7064220183486238
DNN,6,NORM,F1 score,0.8210240144993204
DNN,6,CD,Precision,0.6217821782178218
DNN,6,CD,Recall,0.8699186991869918
DNN,6,CD,Specificity,0.8953362255965293
DNN,6,CD,F1 score,0.7352941176470589
DNN,6,HYP,Precision,0.6226415094339622
DNN,6,HYP,Recall,0.5213270142180095
DNN,6,HYP,Specificity,0.9626307922272048
DNN,6,HYP,F1 score,0.5840220385674931
DNN,6,MI,Precision,0.43346007604562736
DNN,6,MI,Recall,0.5213270142180095
DNN,6,MI,Specificity,0.9211576846307385
DNN,6,MI,F1 score,0.4834123222748815
DNN,6,STTC,Precision,0.5466666666666666
DNN,6,STTC,Recall,0.21764705882352942
DNN,6,STTC,Specificity,0.9820089955022488
DNN,6,STTC,F1 score,0.3166023166023166
DNN,7,NORM,Precision,0.7134964483030781
DNN,7,NORM,Recall,0.9570680628272251
DNN,7,NORM,Specificity,0.7066772655007949
DNN,7,NORM,F1 score,0.8221709006928406
DNN,7,CD,Precision,0.628131021194605
DNN,7,CD,Recall,0.871313672922252
DNN,7,CD,Specificity,0.8960751796572692
DNN,7,CD,F1 score,0.7378190255220418
DNN,7,HYP,Precision,0.6229508196721312
DNN,7,HYP,Recall,0.5233644859813084
DNN,7,HYP,Specificity,0.9626598465473146
DNN,7,HYP,F1 score,0.5841584158415841
DNN,7,MI,Precision,0.4342629482071713
DNN,7,MI,Recall,0.5231481481481481
DNN,7,MI,Specificity,0.9214394323365434
DNN,7,MI,F1 score,0.4840182648401826
DNN,7,STTC,Precision,0.547945205479452
DNN,7,STTC,Recall,0.21764705882352942
DNN,7,STTC,Specificity,0.982080637132902
DNN,7,STTC,F1 score,0.31746031746031744
DNN,8,NORM,Precision,0.7142857142857143
DNN,8,NORM,Recall,0.9571713147410359
DNN,8,NORM,Specificity,0.7067424857839155
DNN,8,NORM,F1 score,0.8224554997717937
DNN,8,CD,Precision,0.6281800391389433
DNN,8,CD,Recall,0.8756756756756757
DNN,8,CD,Specificity,0.8961538461538462
DNN,8,CD,F1 score,0.7389162561576355
DNN,8,HYP,Precision,0.625
DNN,8,HYP,Recall,0.525
DNN,8,HYP,Specificity,0.9627236580516899
DNN,8,HYP,F1 score,0.5841584158415841
DNN,8,MI,Precision,0.43568464730290457
DNN,8,MI,Recall,0.5263157894736842
DNN,8,MI,Specificity,0.9216867469879518
DNN,8,MI,F1 score,0.48552338530066813
DNN,8,STTC,Precision,0.5588235294117647
DNN,8,STTC,Recall,0.21893491124260356
DNN,8,STTC,Specificity,0.9821428571428571
DNN,8,STTC,F1 score,0.32
DNN,9,NORM,Precision,0.7144006436041834
DNN,9,NORM,Recall,0.9579579579579579
DNN,9,NORM,Specificity,0.7077435470441299
DNN,9,NORM,F1 score,0.82277318640955
DNN,9,CD,Precision,0.6287425149700598
DNN,9,CD,Recall,0.8763440860215054
DNN,9,CD,Specificity,0.896361631753032
DNN,9,CD,F1 score,0.7391841779975278
DNN,9,HYP,Precision,0.628140703517588
DNN,9,HYP,Recall,0.5291479820627802
DNN,9,HYP,Specificity,0.963055416874688
DNN,9,HYP,F1 score,0.5842105263157895
DNN,9,MI,Precision,0.43568464730290457
DNN,9,MI,Recall,0.5283018867924528
DNN,9,MI,Specificity,0.9218274111675127
DNN,9,MI,F1 score,0.4860215053763441
DNN,9,STTC,Precision,0.56
DNN,9,STTC,Recall,0.22099447513812154
DNN,9,STTC,Specificity,0.9821428571428571
DNN,9,STTC,F1 score,0.32098765432098764
DNN,10,NORM,Precision,0.7145122918318795
DNN,10,NORM,Recall,0.9581589958158996
DNN,10,NORM,Specificity,0.7083981337480559
DNN,10,NORM,F1 score,0.8229842446709916
DNN,10,CD,Precision,0.6290322580645161
DNN,10,CD,Recall,0.8768328445747801
DNN,10,CD,Specificity,0.8963646228974498
DNN,10,CD,F1 score,0.7394366197183099
DNN,10,HYP,Precision,0.631578947368421
DNN,10,HYP,Recall,0.5333333333333333
DNN,10,HYP,Specificity,0.9630566801619433
DNN,10,HYP,F1 score,0.5842105263157895
DNN,10,MI,Precision,0.436
DNN,10,MI,Recall,0.5324074074074074
DNN,10,MI,Specificity,0.9219066937119675
DNN,10,MI,F1 score,0.4860215053763441
DNN,10,STTC,Precision,0.5633802816901409
DNN,10,STTC,Recall,0.22099447513812154
DNN,10,STTC,Specificity,0.9822222222222222
DNN,10,STTC,F1 score,0.32286995515695066
DNN,11,NORM,Precision,0.714514835605453
DNN,11,NORM,Recall,0.9586776859504132
DNN,11,NORM,Specificity,0.7085346215780999
DNN,11,NORM,F1 score,0.8233707865168539
DNN,11,CD,Precision,0.6294117647058823
DNN,11,CD,Recall,0.8771428571428571
DNN,11,CD,Specificity,0.8964383561643836
DNN,11,CD,F1 score,0.7397899649941657
DNN,11,HYP,Precision,0.6323529411764706
DNN,11,HYP,Recall,0.5336538461538461
DNN,11,HYP,Specificity,0.9631313131313132
