,Precision,Recall,Specificity,F1 score
,DNN,DNN,DNN,DNN
NORM,0.743,0.972,0.738,0.842
CD,0.677,0.911,0.912,0.777
HYP,0.706,0.617,0.972,0.658
MI,0.506,0.613,0.934,0.554
STTC,0.692,0.300,0.988,0.419
