,Precision,Recall,Specificity,F1 score
,DNN,DNN,DNN,DNN
NORM,0.718,0.966,0.704,0.823
CD,0.657,0.903,0.904,0.760
HYP,0.541,0.738,0.932,0.625
MI,0.570,0.488,0.960,0.526
STTC,0.617,0.439,0.976,0.513
