,Precision,Recall,Specificity,F1 score
,DNN,DNN,DNN,DNN
NORM,0.703,0.970,0.680,0.815
CD,0.609,0.919,0.880,0.733
HYP,0.533,0.752,0.929,0.624
MI,0.583,0.502,0.961,0.540
STTC,0.647,0.428,0.979,0.515
