predictor,n,diagnosis,score_fun,score
DNN,6,NORM,Recall,0.9546827794561934
DNN,6,NORM,Specificity,0.647451963241437
DNN,6,NORM,F1 score,0.7925696594427245
DNN,6,CD,Precision,0.5548281505728314
DNN,6,CD,Recall,0.8814016172506739
DNN,6,CD,Specificity,0.861096039066739
DNN,6,CD,F1 score,0.6885964912280702
DNN,6,HYP,Precision,0.4692556634304207
DNN,6,HYP,Recall,0.6770833333333334
DNN,6,HYP,Specificity,0.9152371342078708
DNN,6,HYP,F1 score,0.5633802816901409
DNN,6,MI,Precision,0.4942528735632184
DNN,6,MI,Recall,0.42028985507246375
DNN,6,MI,Specificity,0.9497512437810945
DNN,6,MI,F1 score,0.46943765281173594
DNN,6,STTC,Precision,0.5398230088495575
DNN,6,STTC,Recall,0.33519553072625696
DNN,6,STTC,Specificity,0.9716981132075472
DNN,6,STTC,F1 score,0.41911764705882354
DNN,7,NORM,Precision,0.6737160120845922
DNN,7,NORM,Recall,0.9547844374342797
DNN,7,NORM,Specificity,0.6477272727272727
DNN,7,NORM,F1 score,0.7928007023705005
DNN,7,CD,Precision,0.5549348230912476
DNN,7,CD,Recall,0.8825214899713467
DNN,7,CD,Specificity,0.8613098514034122
DNN,7,CD,F1 score,0.691415313225058
DNN,7,HYP,Precision,0.46953405017921146
DNN,7,HYP,Recall,0.6772486772486772
DNN,7,HYP,Specificity,0.915864166244298
DNN,7,HYP,F1 score,0.5648854961832062
DNN,7,MI,Precision,0.49473684210526314
DNN,7,MI,Recall,0.4218009478672986
DNN,7,MI,Specificity,0.9502762430939227
DNN,7,MI,F1 score,0.46956521739130436
DNN,7,STTC,Precision,0.5423728813559322
DNN,7,STTC,Recall,0.3352272727272727
DNN,7,STTC,Specificity,0.9717261904761905
DNN,7,STTC,F1 score,0.42424242424242425
DNN,8,NORM,Precision,0.6739457831325302
DNN,8,NORM,Recall,0.95496417604913
DNN,8,NORM,Specificity,0.64822460776218
DNN,8,NORM,F1 score,0.7932414406402846
DNN,8,CD,Precision,0.5566037735849056
DNN,8,CD,Recall,0.8828571428571429
DNN,8,CD,Specificity,0.8616216216216216
DNN,8,CD,F1 score,0.6922234392113911
DNN,8,HYP,Precision,0.47019867549668876
DNN,8,HYP,Recall,0.6804123711340206
DNN,8,HYP,Specificity,0.9159536990437847
DNN,8,HYP,F1 score,0.5657370517928287
DNN,8,MI,Precision,0.4951923076923077
DNN,8,MI,Recall,0.42272727272727273
DNN,8,MI,Specificity,0.9504550050556118
DNN,8,MI,F1 score,0.46965699208443273
DNN,8,STTC,Precision,0.543859649122807
DNN,8,STTC,Recall,0.3370165745856354
DNN,8,STTC,Specificity,0.9717682020802377
DNN,8,STTC,F1 score,0.42567567567567566
DNN,9,NORM,Precision,0.6742815033161386
DNN,9,NORM,Recall,0.9552238805970149
DNN,9,NORM,Specificity,0.6485225505443235
DNN,9,NORM,F1 score,0.7935800267498886
DNN,9,CD,Precision,0.5571955719557196
DNN,9,CD,Recall,0.8833333333333333
DNN,9,CD,Specificity,0.8617136659436009
DNN,9,CD,F1 score,0.6933019976498237
DNN,9,HYP,Precision,0.4709897610921502
DNN,9,HYP,Recall,0.6818181818181818
DNN,9,HYP,Specificity,0.916582406471183
DNN,9,HYP,F1 score,0.567741935483871
DNN,9,MI,Precision,0.49740932642487046
DNN,9,MI,Recall,0.42452830188679247
DNN,9,MI,Specificity,0.9507614213197969
DNN,9,MI,F1 score,0.4702702702702703
DNN,9,STTC,Precision,0.5446428571428571
DNN,9,STTC,Recall,0.33727810650887574
DNN,9,STTC,Specificity,0.971976401179941
DNN,9,STTC,F1 score,0.4263565891472868
DNN,10,NORM,Precision,0.6744186046511628
DNN,10,NORM,Recall,0.9552549427679501
DNN,10,NORM,Specificity,0.6486042692939245
DNN,10,NORM,F1 score,0.7937915742793792
DNN,10,CD,Precision,0.5578947368421052
