,Precision,Recall,Specificity,F1 score
,DNN,DNN,DNN,DNN
NORM,0.672,0.991,0.623,0.801
CD,0.583,0.960,0.860,0.725
HYP,0.422,0.874,0.871,0.569
MI,0.549,0.590,0.947,0.569
STTC,0.649,0.483,0.977,0.554
