predictor,n,diagnosis,score_fun,score
DNN,6,NORM,Specificity,0.6693163751987281
DNN,6,NORM,F1 score,0.8010776829815895
DNN,6,CD,Precision,0.601145038167939
DNN,6,CD,Recall,0.8628571428571429
DNN,6,CD,Specificity,0.886027397260274
DNN,6,CD,F1 score,0.71849234393404
DNN,6,HYP,Precision,0.47058823529411764
DNN,6,HYP,Recall,0.6632124352331606
DNN,6,HYP,Specificity,0.9183879093198992
DNN,6,HYP,F1 score,0.5598377281947262
DNN,6,MI,Precision,0.484375
DNN,6,MI,Recall,0.40487804878048783
DNN,6,MI,Specificity,0.9490575649516046
DNN,6,MI,F1 score,0.44987775061124696
DNN,6,STTC,Precision,0.5041322314049587
DNN,6,STTC,Recall,0.3431952662721893
DNN,6,STTC,Specificity,0.9662195727769498
DNN,6,STTC,F1 score,0.41924398625429554
DNN,7,NORM,Precision,0.6865203761755486
DNN,7,NORM,Recall,0.9503105590062112
DNN,7,NORM,Specificity,0.6715927750410509
DNN,7,NORM,F1 score,0.8015734265734266
DNN,7,CD,Precision,0.6062992125984252
DNN,7,CD,Recall,0.8636363636363636
DNN,7,CD,Specificity,0.8865131578947368
DNN,7,CD,F1 score,0.7187141216991964
DNN,7,HYP,Precision,0.47058823529411764
DNN,7,HYP,Recall,0.6634615384615384
DNN,7,HYP,Specificity,0.9186338523355098
DNN,7,HYP,F1 score,0.5603271983640081
DNN,7,MI,Precision,0.4887640449438202
DNN,7,MI,Recall,0.4056603773584906
DNN,7,MI,Specificity,0.9491353001017294
DNN,7,MI,F1 score,0.450402144772118
DNN,7,STTC,Precision,0.5041322314049587
DNN,7,STTC,Recall,0.34523809523809523
DNN,7,STTC,Specificity,0.966275659824047
DNN,7,STTC,F1 score,0.42028985507246375
DNN,8,NORM,Precision,0.6875471698113208
DNN,8,NORM,Recall,0.9505783385909569
DNN,8,NORM,Specificity,0.6719665271966527
DNN,8,NORM,F1 score,0.8015838099428069
DNN,8,CD,Precision,0.6075949367088608
DNN,8,CD,Recall,0.8646616541353384
DNN,8,CD,Specificity,0.8866594360086768
DNN,8,CD,F1 score,0.7201783723522854
DNN,8,HYP,Precision,0.47079037800687284
DNN,8,HYP,Recall,0.6635514018691588
