,Precision,Recall,Specificity,F1 score
,DNN,DNN,DNN,DNN
NORM,0.721,0.968,0.708,0.826
CD,0.640,0.914,0.895,0.752
HYP,0.515,0.790,0.920,0.624
MI,0.594,0.493,0.963,0.539
STTC,0.565,0.433,0.970,0.491
