predictor,n,diagnosis,score_fun,score
DNN,6,NORM,Recall,0.9822546972860126
DNN,6,NORM,Specificity,0.5851239669421487
DNN,6,NORM,F1 score,0.7776365946632783
DNN,6,CD,Precision,0.5337620578778135
DNN,6,CD,Recall,0.9326145552560647
DNN,6,CD,Specificity,0.840782122905028
DNN,6,CD,F1 score,0.6842105263157895
DNN,6,HYP,Precision,0.36875
DNN,6,HYP,Recall,0.8130841121495327
DNN,6,HYP,Specificity,0.8518145161290323
DNN,6,HYP,F1 score,0.5182829888712241
DNN,6,MI,Precision,0.4690265486725664
DNN,6,MI,Recall,0.4928909952606635
DNN,6,MI,Specificity,0.9348813730439172
DNN,6,MI,F1 score,0.49875311720698257
DNN,6,STTC,Precision,0.5492957746478874
DNN,6,STTC,Recall,0.38857142857142857
DNN,6,STTC,Specificity,0.968222442899702
DNN,6,STTC,F1 score,0.46511627906976744
DNN,7,NORM,Precision,0.6407697790449037
DNN,7,NORM,Recall,0.9825641025641025
DNN,7,NORM,Specificity,0.5854665565648225
DNN,7,NORM,F1 score,0.7786920744911217
DNN,7,CD,Precision,0.5351437699680511
DNN,7,CD,Recall,0.9333333333333333
DNN,7,CD,Specificity,0.8410087719298246
DNN,7,CD,F1 score,0.6860103626943005
DNN,7,HYP,Precision,0.3689727463312369
DNN,7,HYP,Recall,0.8134715025906736
DNN,7,HYP,Specificity,0.8518705763397371
DNN,7,HYP,F1 score,0.5193548387096775
DNN,7,MI,Precision,0.46956521739130436
DNN,7,MI,Recall,0.5
DNN,7,MI,Specificity,0.9351758793969849
DNN,7,MI,F1 score,0.5
DNN,7,STTC,Precision,0.5492957746478874
DNN,7,STTC,Recall,0.39226519337016574
DNN,7,STTC,Specificity,0.9682462139716659
DNN,7,STTC,F1 score,0.47096774193548385
DNN,8,NORM,Precision,0.6419308357348703
DNN,8,NORM,Recall,0.9827586206896551
DNN,8,NORM,Specificity,0.5866885784716516
DNN,8,NORM,F1 score,0.7788461538461539
DNN,8,CD,Precision,0.5358851674641149
DNN,8,CD,Recall,0.9338235294117647
DNN,8,CD,Specificity,0.8411062906724512
DNN,8,CD,F1 score,0.6863543788187373
DNN,8,HYP,Precision,0.3709677419354839
DNN,8,HYP,Recall,0.8146341463414634
DNN,8,HYP,Specificity,0.8520382486160041
DNN,8,HYP,F1 score,0.5197568389057751
DNN,8,MI,Precision,0.47342995169082125
DNN,8,MI,Recall,0.5023041474654378
DNN,8,MI,Specificity,0.9358909641595154
DNN,8,MI,F1 score,0.5012285012285013
DNN,8,STTC,Precision,0.5503875968992248
DNN,8,STTC,Recall,0.3924050632911392
DNN,8,STTC,Specificity,0.9683011391778108
DNN,8,STTC,F1 score,0.4709897610921502
DNN,9,NORM,Precision,0.6424028268551236
DNN,9,NORM,Recall,0.9832460732984293
DNN,9,NORM,Specificity,0.5871121718377088
DNN,9,NORM,F1 score,0.7794871794871795
DNN,9,CD,Precision,0.5366666666666666
DNN,9,CD,Recall,0.9348441926345609
DNN,9,CD,Specificity,0.8415300546448088
DNN,9,CD,F1 score,0.6866597724922441
DNN,9,HYP,Precision,0.37170263788968827
DNN,9,HYP,Recall,0.8169642857142857
DNN,9,HYP,Specificity,0.8521695257315842
DNN,9,HYP,F1 score,0.5198675496688742
DNN,9,MI,Precision,0.47413793103448276
DNN,9,MI,Recall,0.5045871559633027
DNN,9,MI,Specificity,0.9362025316455697
DNN,9,MI,F1 score,0.5012531328320802
DNN,9,STTC,Precision,0.5528455284552846
DNN,9,STTC,Recall,0.39263803680981596
DNN,9,STTC,Specificity,0.9683950617283951
DNN,9,STTC,F1 score,0.4714285714285714
DNN,10,NORM,Precision,0.6428065201984409
DNN,10,NORM,Recall,0.9832810867293625
DNN,10,NORM,Specificity,0.5899843505477308
DNN,10,NORM,F1 score,0.7796178343949045
DNN,10,CD,Precision,0.5378548895899053
DNN,10,CD,Recall,0.9358288770053476
DNN,10,CD,Specificity,0.8416988416988417
DNN,10,CD,F1 score,0.6870389884088515
DNN,10,HYP,Precision,0.3726315789473684
DNN,10,HYP,Recall,0.8173076923076923
DNN,10,HYP,Specificity,0.8527918781725888
DNN,10,HYP,F1 score,0.5213549337260678
DNN,10,MI,Precision,0.47540983606557374
DNN,10,MI,Recall,0.5102040816326531
DNN,10,MI,Specificity,0.9362549800796812
DNN,10,MI,F1 score,0.5012531328320802
DNN,10,STTC,Precision,0.5547445255474452
DNN,10,STTC,Recall,0.39267015706806285
DNN,10,STTC,Specificity,0.9684106614017769
DNN,10,STTC,F1 score,0.4716981132075472
DNN,11,NORM,Precision,0.6428571428571429
DNN,11,NORM,Recall,0.9833333333333333
DNN,11,NORM,Specificity,0.5909797822706065
DNN,11,NORM,F1 score,0.7798796216680998
DNN,11,CD,Precision,0.5379644588045234
DNN,11,CD,Recall,0.9361111111111111
DNN,11,CD,Specificity,0.8421908893709328
DNN,11,CD,F1 score,0.6871165644171779
DNN,11,HYP,Precision,0.37299771167048057
DNN,11,HYP,Recall,0.8177570093457944
DNN,11,HYP,Specificity,0.8533604887983707
DNN,11,HYP,F1 score,0.5214723926380368
DNN,11,MI,Precision,0.47547169811320755
DNN,11,MI,Recall,0.5111111111111111
DNN,11,MI,Specificity,0.9363408521303258
DNN,11,MI,F1 score,0.5034324942791762
DNN,11,STTC,Precision,0.5585585585585585
DNN,11,STTC,Recall,0.39473684210526316
DNN,11,STTC,Specificity,0.9684684684684685
DNN,11,STTC,F1 score,0.4726027397260274
DNN,12,NORM,Precision,0.6431593794076164
DNN,12,NORM,Recall,0.9833333333333333
DNN,12,NORM,Specificity,0.591155934833204
DNN,12,NORM,F1 score,0.7802575107296137
DNN,12,CD,Precision,0.5382113821138211
DNN,12,CD,Recall,0.9361111111111111
DNN,12,CD,Specificity,0.8423076923076923
DNN,12,CD,F1 score,0.6873065015479877
DNN,12,HYP,Precision,0.3744493392070485
DNN,12,HYP,Recall,0.8181818181818182
DNN,12,HYP,Specificity,0.8541033434650456
DNN,12,HYP,F1 score,0.5218855218855218
DNN,12,MI,Precision,0.4769874476987448
DNN,12,MI,Recall,0.5114155251141552
DNN,12,MI,Specificity,0.9363408521303258
DNN,12,MI,F1 score,0.5034642032332564
DNN,12,STTC,Precision,0.559322033898305
DNN,12,STTC,Recall,0.39880952380952384
DNN,12,STTC,Specificity,0.9687964338781575
DNN,12,STTC,F1 score,0.47333333333333333
DNN,13,NORM,Precision,0.643298969072165
DNN,13,NORM,Recall,0.9834368530020704
DNN,13,NORM,Specificity,0.5917207792207793
DNN,13,NORM,F1 score,0.780968709815688
DNN,13,CD,Precision,0.5383333333333333
DNN,13,CD,Recall,0.9365079365079365
DNN,13,CD,Specificity,0.8424209378407852
DNN,13,CD,F1 score,0.6902834008097166
DNN,13,HYP,Precision,0.37447698744769875
DNN,13,HYP,Recall,0.8186528497409327
DNN,13,HYP,Specificity,0.8545454545454545
DNN,13,HYP,F1 score,0.5226586102719033
DNN,13,MI,Precision,0.47717842323651455
DNN,13,MI,Recall,0.5127118644067796
DNN,13,MI,Specificity,0.9365
DNN,13,MI,F1 score,0.5045045045045045
DNN,13,STTC,Precision,0.5594405594405595
DNN,13,STTC,Recall,0.3989071038251366
DNN,13,STTC,Specificity,0.9687964338781575
DNN,13,STTC,F1 score,0.4735202492211838
DNN,14,NORM,Precision,0.644927536231884
DNN,14,NORM,Recall,0.983453981385729
DNN,14,NORM,Specificity,0.5919395465994962
DNN,14,NORM,F1 score,0.7810443176831944
DNN,14,CD,Precision,0.5385934819897084
DNN,14,CD,Recall,0.9366391184573003
DNN,14,CD,Specificity,0.84244721169464
DNN,14,CD,F1 score,0.6909090909090909
DNN,14,HYP,Precision,0.37472283813747226
DNN,14,HYP,Recall,0.8203883495145631
DNN,14,HYP,Specificity,0.8546659867414584
DNN,14,HYP,F1 score,0.5226917057902973
DNN,14,MI,Precision,0.4797979797979798
DNN,14,MI,Recall,0.5144230769230769
DNN,14,MI,Specificity,0.9365878208354304
DNN,14,MI,F1 score,0.5057471264367817
DNN,14,STTC,Precision,0.5606060606060606
DNN,14,STTC,Recall,0.4010989010989011
DNN,14,STTC,Specificity,0.9688755020080321
DNN,14,STTC,F1 score,0.47468354430379744
DNN,15,NORM,Precision,0.6453369639210347
DNN,15,NORM,Recall,0.9834710743801653
DNN,15,NORM,Specificity,0.5921787709497207
DNN,15,NORM,F1 score,0.7811563169164882
DNN,15,CD,Precision,0.5400696864111498
DNN,15,CD,Recall,0.9368686868686869
DNN,15,CD,Specificity,0.8426592797783934
DNN,15,CD,F1 score,0.6909871244635193
DNN,15,HYP,Precision,0.375
DNN,15,HYP,Recall,0.821917808219178
DNN,15,HYP,Specificity,0.8547655068078669
DNN,15,HYP,F1 score,0.5232744783306581
DNN,15,MI,Precision,0.4798206278026906
DNN,15,MI,Recall,0.5147679324894515
DNN,15,MI,Specificity,0.9366447034972124
DNN,15,MI,F1 score,0.5058548009367682
DNN,15,STTC,Precision,0.5608108108108109
DNN,15,STTC,Recall,0.4024390243902439
DNN,15,STTC,Specificity,0.9689502217841302
DNN,15,STTC,F1 score,0.47491638795986624
