predictor,n,diagnosis,score_fun,score
DNN,6,NORM,Precision,0.669710806697108
DNN,6,NORM,Recall,0.9458896982310093
DNN,6,NORM,Specificity,0.6472
DNN,6,NORM,F1 score,0.7889273356401384
DNN,6,CD,Precision,0.5915221579961464
DNN,6,CD,Recall,0.8521303258145363
DNN,6,CD,Specificity,0.8824797843665768
DNN,6,CD,F1 score,0.7048114434330299
DNN,6,HYP,Precision,0.525
DNN,6,HYP,Recall,0.6303317535545023
DNN,6,HYP,Specificity,0.9362025316455697
DNN,6,HYP,F1 score,0.5776699029126213
DNN,6,MI,Precision,0.4692982456140351
DNN,6,MI,Recall,0.4585365853658537
DNN,6,MI,Specificity,0.9395770392749244
DNN,6,MI,F1 score,0.47306791569086654
DNN,6,STTC,Precision,0.47619047619047616
DNN,6,STTC,Recall,0.2677595628415301
DNN,6,STTC,Specificity,0.9710434348477284
DNN,6,STTC,F1 score,0.3510204081632653
DNN,7,NORM,Precision,0.669717772692601
DNN,7,NORM,Recall,0.946058091286307
DNN,7,NORM,Specificity,0.6475409836065574
DNN,7,NORM,F1 score,0.788982674366948
DNN,7,CD,Precision,0.5915492957746479
DNN,7,CD,Recall,0.8525469168900804
DNN,7,CD,Specificity,0.88268156424581
DNN,7,CD,F1 score,0.7066974595842956
DNN,7,HYP,Precision,0.5263157894736842
DNN,7,HYP,Recall,0.6308411214953271
DNN,7,HYP,Specificity,0.9366447034972124
DNN,7,HYP,F1 score,0.579064587973274
DNN,7,MI,Precision,0.47549019607843135
DNN,7,MI,Recall,0.4590909090909091
DNN,7,MI,Specificity,0.939795918367347
DNN,7,MI,F1 score,0.473551637279597
DNN,7,STTC,Precision,0.4778761061946903
DNN,7,STTC,Recall,0.273224043715847
DNN,7,STTC,Specificity,0.9711155378486056
DNN,7,STTC,F1 score,0.35918367346938773
DNN,8,NORM,Precision,0.6703952274422073
DNN,8,NORM,Recall,0.9464668094218416
DNN,8,NORM,Specificity,0.6481947942905122
DNN,8,NORM,F1 score,0.7898936170212766
DNN,8,CD,Precision,0.5935251798561151
DNN,8,CD,Recall,0.8530927835051546
DNN,8,CD,Specificity,0.8832876712328767
DNN,8,CD,F1 score,0.7067484662576687
DNN,8,HYP,Precision,0.5265306122448979
DNN,8,HYP,Recall,0.6322869955156951
DNN,8,HYP,Specificity,0.9366583541147132
DNN,8,HYP,F1 score,0.5857142857142857
DNN,8,MI,Precision,0.47596153846153844
DNN,8,MI,Recall,0.46153846153846156
DNN,8,MI,Specificity,0.9398266190719021
DNN,8,MI,F1 score,0.4748858447488584
DNN,8,STTC,Precision,0.4782608695652174
DNN,8,STTC,Recall,0.27472527472527475
DNN,8,STTC,Specificity,0.9711155378486056
DNN,8,STTC,F1 score,0.36
DNN,9,NORM,Precision,0.671201814058957
DNN,9,NORM,Recall,0.9471007121057986
DNN,9,NORM,Specificity,0.6486486486486487
DNN,9,NORM,F1 score,0.7906764168190128
DNN,9,CD,Precision,0.5938104448742747
DNN,9,CD,Recall,0.8533333333333334
DNN,9,CD,Specificity,0.8833241607044579
DNN,9,CD,F1 score,0.7069555302166477
DNN,9,HYP,Precision,0.5285714285714286
DNN,9,HYP,Recall,0.6341463414634146
DNN,9,HYP,Specificity,0.9367408906882592
DNN,9,HYP,F1 score,0.5877192982456141
DNN,9,MI,Precision,0.47641509433962265
DNN,9,MI,Recall,0.4719626168224299
DNN,9,MI,Specificity,0.9400101677681749
DNN,9,MI,F1 score,0.4788732394366197
DNN,9,STTC,Precision,0.47959183673469385
DNN,9,STTC,Recall,0.27647058823529413
DNN,9,STTC,Specificity,0.9711773326819736
DNN,9,STTC,F1 score,0.3602941176470588
DNN,10,NORM,Precision,0.671583850931677
DNN,10,NORM,Recall,0.9477054429028815
DNN,10,NORM,Specificity,0.6490384615384616
DNN,10,NORM,F1 score,0.7914438502673797
DNN,10,CD,Precision,0.5967413441955194
DNN,10,CD,Recall,0.8534031413612565
DNN,10,CD,Specificity,0.8844492440604752
DNN,10,CD,F1 score,0.7080610021786492
DNN,10,HYP,Precision,0.532
DNN,10,HYP,Recall,0.634703196347032
DNN,10,HYP,Specificity,0.9368048533872598
DNN,10,HYP,F1 score,0.5879629629629629
DNN,10,MI,Precision,0.47738693467336685
DNN,10,MI,Recall,0.4724770642201835
DNN,10,MI,Specificity,0.9404641775983855
DNN,10,MI,F1 score,0.4801980198019802
DNN,10,STTC,Precision,0.48148148148148145
DNN,10,STTC,Recall,0.2804878048780488
DNN,10,STTC,Specificity,0.9712158808933002
DNN,10,STTC,F1 score,0.3607843137254902
DNN,11,NORM,Precision,0.6719457013574661
DNN,11,NORM,Recall,0.9477993858751279
DNN,11,NORM,Specificity,0.6492659053833605
DNN,11,NORM,F1 score,0.7914671310404876
DNN,11,CD,Precision,0.59765625
DNN,11,CD,Recall,0.8537234042553191
DNN,11,CD,Specificity,0.8848684210526315
DNN,11,CD,F1 score,0.7085852478839177
DNN,11,HYP,Precision,0.5336134453781513
DNN,11,HYP,Recall,0.6386138613861386
DNN,11,HYP,Specificity,0.9369684842421211
DNN,11,HYP,F1 score,0.588495575221239
DNN,11,MI,Precision,0.4786729857819905
DNN,11,MI,Recall,0.47342995169082125
DNN,11,MI,Specificity,0.9404702351175588
DNN,11,MI,F1 score,0.4821002386634845
DNN,11,STTC,Precision,0.4954954954954955
DNN,11,STTC,Recall,0.2808988764044944
DNN,11,STTC,Specificity,0.9712586719524281
DNN,11,STTC,F1 score,0.36231884057971014
DNN,12,NORM,Precision,0.6722306525037937
DNN,12,NORM,Recall,0.9480249480249481
DNN,12,NORM,Specificity,0.6494676494676495
DNN,12,NORM,F1 score,0.7915353444394417
DNN,12,CD,Precision,0.5985267034990792
DNN,12,CD,Recall,0.8547945205479452
DNN,12,CD,Specificity,0.8849315068493151
DNN,12,CD,F1 score,0.7099767981438515
DNN,12,HYP,Precision,0.5336322869955157
DNN,12,HYP,Recall,0.6387665198237885
DNN,12,HYP,Specificity,0.9370910920986412
DNN,12,HYP,F1 score,0.5895196506550219
DNN,12,MI,Precision,0.4790697674418605
DNN,12,MI,Recall,0.47596153846153844
DNN,12,MI,Specificity,0.9404883011190234
DNN,12,MI,F1 score,0.48226950354609927
DNN,12,STTC,Precision,0.5
DNN,12,STTC,Recall,0.2824858757062147
DNN,12,STTC,Specificity,0.9713711702661979
DNN,12,STTC,F1 score,0.3655913978494624
DNN,13,NORM,Precision,0.6726998491704375
DNN,13,NORM,Recall,0.9483122362869199
DNN,13,NORM,Specificity,0.6498761354252683
DNN,13,NORM,F1 score,0.7917228969860549
DNN,13,CD,Precision,0.5985401459854015
DNN,13,CD,Recall,0.8555555555555555
DNN,13,CD,Specificity,0.8850325379609545
DNN,13,CD,F1 score,0.7101769911504425
DNN,13,HYP,Precision,0.5338645418326693
DNN,13,HYP,Recall,0.6390243902439025
DNN,13,HYP,Specificity,0.937125748502994
DNN,13,HYP,F1 score,0.5903890160183066
DNN,13,MI,Precision,0.48095238095238096
DNN,13,MI,Recall,0.4765957446808511
DNN,13,MI,Specificity,0.9405241935483871
DNN,13,MI,F1 score,0.4827586206896552
DNN,13,STTC,Precision,0.5
DNN,13,STTC,Recall,0.28342245989304815
DNN,13,STTC,Specificity,0.9716840536512668
DNN,13,STTC,F1 score,0.36585365853658536
DNN,14,NORM,Precision,0.673469387755102
