predictor,n,diagnosis,score_fun,score
DNN,0,NORM,Precision,0.6589724497393894
DNN,0,NORM,Recall,0.9507853403141361
DNN,0,NORM,Specificity,0.6239530988274706
DNN,0,NORM,F1 score,0.7838795394154119
DNN,0,CD,Precision,0.5522648083623694
DNN,0,CD,Recall,0.8590425531914894
DNN,0,CD,Specificity,0.8606290672451193
DNN,0,CD,F1 score,0.6831896551724138
DNN,0,HYP,Precision,0.45484949832775917
DNN,0,HYP,Recall,0.7129186602870813
DNN,0,HYP,Specificity,0.9081218274111675
DNN,0,HYP,F1 score,0.5759368836291914
DNN,0,MI,Precision,0.47368421052631576
DNN,0,MI,Recall,0.39712918660287083
DNN,0,MI,Specificity,0.9483805668016194
DNN,0,MI,F1 score,0.44562334217506633
DNN,0,STTC,Precision,0.4715447154471545
DNN,0,STTC,Recall,0.3484848484848485
DNN,0,STTC,Specificity,0.9642679900744416
DNN,0,STTC,F1 score,0.41379310344827586
DNN,1,NORM,Precision,0.6590909090909091
DNN,1,NORM,Recall,0.9512448132780082
DNN,1,NORM,Specificity,0.631578947368421
DNN,1,NORM,F1 score,0.7848443843031123
DNN,1,CD,Precision,0.5549645390070922
DNN,1,CD,Recall,0.8771929824561403
DNN,1,CD,Specificity,0.8629385964912281
DNN,1,CD,F1 score,0.6879120879120879
DNN,1,HYP,Precision,0.45768025078369906
DNN,1,HYP,Recall,0.7149532710280374
DNN,1,HYP,Specificity,0.9105236400610066
DNN,1,HYP,F1 score,0.579957356076759
DNN,1,MI,Precision,0.48295454545454547
DNN,1,MI,Recall,0.4077669902912621
DNN,1,MI,Specificity,0.9498243853487205
DNN,1,MI,F1 score,0.45348837209302323
DNN,1,STTC,Precision,0.48
DNN,1,STTC,Recall,0.35294117647058826
DNN,1,STTC,Specificity,0.9644619940769991
DNN,1,STTC,F1 score,0.4225352112676056
DNN,2,NORM,Precision,0.6601941747572816
DNN,2,NORM,Recall,0.954954954954955
DNN,2,NORM,Specificity,0.6347687400318979
DNN,2,NORM,F1 score,0.7854286983562861
DNN,2,CD,Precision,0.5577689243027888
DNN,2,CD,Recall,0.882051282051282
DNN,2,CD,Specificity,0.8642857142857143
DNN,2,CD,F1 score,0.6931567328918322
DNN,2,HYP,Precision,0.47572815533980584
DNN,2,HYP,Recall,0.7216494845360825
DNN,2,HYP,Specificity,0.9105976896032144
DNN,2,HYP,F1 score,0.5835095137420718
DNN,2,MI,Precision,0.49122807017543857
DNN,2,MI,Recall,0.41013824884792627
DNN,2,MI,Specificity,0.9506297229219144
DNN,2,MI,F1 score,0.4547945205479452
DNN,2,STTC,Precision,0.4921875
DNN,2,STTC,Recall,0.35502958579881655
DNN,2,STTC,Specificity,0.9652605459057072
DNN,2,STTC,F1 score,0.4233576642335766
DNN,3,NORM,Precision,0.6634255796559462
DNN,3,NORM,Recall,0.9554865424430642
DNN,3,NORM,Specificity,0.6359300476947536
DNN,3,NORM,F1 score,0.7869875222816399
DNN,3,CD,Precision,0.5588235294117647
DNN,3,CD,Recall,0.8825214899713467
DNN,3,CD,Specificity,0.8644708423326134
DNN,3,CD,F1 score,0.6943483275663207
DNN,3,HYP,Precision,0.4764705882352941
DNN,3,HYP,Recall,0.7242990654205608
DNN,3,HYP,Specificity,0.9110212335692619
DNN,3,HYP,F1 score,0.5843621399176955
DNN,3,MI,Precision,0.49142857142857144
DNN,3,MI,Recall,0.41232227488151657
DNN,3,MI,Specificity,0.9508771929824561
DNN,3,MI,F1 score,0.45569620253164556
DNN,3,STTC,Precision,0.49264705882352944
DNN,3,STTC,Recall,0.35714285714285715
DNN,3,STTC,Specificity,0.9658246656760773
DNN,3,STTC,F1 score,0.425
DNN,4,NORM,Precision,0.6652046783625731
DNN,4,NORM,Recall,0.9555555555555556
DNN,4,NORM,Specificity,0.6416184971098265
DNN,4,NORM,F1 score,0.7885615251299827
DNN,4,CD,Precision,0.5626168224299065
DNN,4,CD,Recall,0.8826666666666667
DNN,4,CD,Specificity,0.8647764449291166
DNN,4,CD,F1 score,0.6947608200455581
DNN,4,HYP,Precision,0.4781144781144781
DNN,4,HYP,Recall,0.726027397260274
DNN,4,HYP,Specificity,0.9110444777611194
DNN,4,HYP,F1 score,0.5875
DNN,4,MI,Precision,0.4918918918918919
DNN,4,MI,Recall,0.4126984126984127
DNN,4,MI,Specificity,0.95097037793667
DNN,4,MI,F1 score,0.45652173913043476
DNN,4,STTC,Precision,0.5
DNN,4,STTC,Recall,0.35795454545454547
DNN,4,STTC,Specificity,0.9665835411471322
DNN,4,STTC,F1 score,0.4253968253968254
DNN,5,NORM,Precision,0.6656782802075611
DNN,5,NORM,Recall,0.9555785123966942
DNN,5,NORM,Specificity,0.6424442609413707
DNN,5,NORM,F1 score,0.7898486197684773
DNN,5,CD,Precision,0.5627240143369175
DNN,5,CD,Recall,0.8833333333333333
DNN,5,CD,Specificity,0.8666666666666667
DNN,5,CD,F1 score,0.6956521739130435
DNN,5,HYP,Precision,0.48172757475083056
DNN,5,HYP,Recall,0.7301587301587301
DNN,5,HYP,Specificity,0.9120323559150657
DNN,5,HYP,F1 score,0.5893536121673004
DNN,5,MI,Precision,0.4970414201183432
DNN,5,MI,Recall,0.41379310344827586
DNN,5,MI,Specificity,0.9511698880976602
DNN,5,MI,F1 score,0.46
DNN,5,STTC,Precision,0.5040650406504065
DNN,5,STTC,Recall,0.35795454545454547
DNN,5,STTC,Specificity,0.9667328699106256
DNN,5,STTC,F1 score,0.42570281124497994
DNN,6,NORM,Precision,0.6679273827534039
DNN,6,NORM,Recall,0.9559877175025588
DNN,6,NORM,Specificity,0.6430241621200312
DNN,6,NORM,F1 score,0.7913921826965306
DNN,6,CD,Precision,0.5651340996168582
DNN,6,CD,Recall,0.8834688346883469
DNN,6,CD,Specificity,0.8672517827756445
DNN,6,CD,F1 score,0.6970033296337403
DNN,6,HYP,Precision,0.48172757475083056
DNN,6,HYP,Recall,0.7355769230769231
DNN,6,HYP,Specificity,0.9129554655870445
DNN,6,HYP,F1 score,0.5907172995780591
DNN,6,MI,Precision,0.49707602339181284
DNN,6,MI,Recall,0.4144144144144144
DNN,6,MI,Specificity,0.9512317747611865
DNN,6,MI,F1 score,0.4607594936708861
DNN,6,STTC,Precision,0.5068493150684932
DNN,6,STTC,Recall,0.358974358974359
DNN,6,STTC,Specificity,0.9671478347436535
DNN,6,STTC,F1 score,0.43086816720257237
DNN,7,NORM,Precision,0.6683562635771181
DNN,7,NORM,Recall,0.9562899786780383
DNN,7,NORM,Specificity,0.6436781609195402
DNN,7,NORM,F1 score,0.7915381225209344
DNN,7,CD,Precision,0.5658627087198516
DNN,7,CD,Recall,0.8845070422535212
DNN,7,CD,Specificity,0.8673637864611998
DNN,7,CD,F1 score,0.6992230854605993
DNN,7,HYP,Precision,0.48253968253968255
DNN,7,HYP,Recall,0.7387387387387387
DNN,7,HYP,Specificity,0.9129778672032193
DNN,7,HYP,F1 score,0.592741935483871
DNN,7,MI,Precision,0.49743589743589745
DNN,7,MI,Recall,0.41517857142857145
DNN,7,MI,Specificity,0.9516046867040244
DNN,7,MI,F1 score,0.46112600536193027
DNN,7,STTC,Precision,0.5111111111111111
DNN,7,STTC,Recall,0.3597560975609756
DNN,7,STTC,Specificity,0.9672781358453149
DNN,7,STTC,F1 score,0.4357976653696498
DNN,8,NORM,Precision,0.6691339748334567
DNN,8,NORM,Recall,0.9564336372847011
DNN,8,NORM,Specificity,0.6447587354409318
DNN,8,NORM,F1 score,0.7920704845814978
