,Precision,Recall,Specificity,F1 score
,DNN,DNN,DNN,DNN
NORM,0.724,0.966,0.713,0.828
CD,0.721,0.876,0.931,0.791
HYP,0.644,0.617,0.963,0.630
MI,0.607,0.341,0.976,0.437
STTC,0.625,0.389,0.979,0.479
